countryterritoryCode,dateRep,cases,deaths,countriesAndTerritories,popData2018,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),Current health expenditure per capita (current US$),Current health expenditure (% of GDP),"Hospital beds (per 1,000 people)"
AFG,2020-04-17,10,4,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-16,70,2,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-15,49,2,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-14,58,3,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-13,52,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-12,34,3,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-11,37,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-10,61,1,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-09,56,3,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-08,30,4,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-07,38,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-06,29,2,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-05,35,1,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-04,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-03,43,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-02,26,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-04-01,25,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
